STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,EDUCATION_LEV,Education level,MEASURE,Measure,EDUCATION_TYPE,Education type,INTENSITY,Intensity,EDUCATION_FIELD,Field of education,GRADE,Grade,FREQ,Frequency of observation,ORIGIN,Origin,DESTINATION,Destination,INST_TYPE_EDU,Type of educational institution,MOBILITY,Mobility,UNIT_MEASURE,Unit of measure,SEX,Sex,AGE,Age,TIME_PERIOD,Time period,OBS_VALUE,Observation value,REF_YEAR_AGES,Reference date for ages,ORIGIN_CRITERION,Origin criterion,REPYEARSTART,Reference year start,REPYEAREND,Reference year end,OBS_STATUS,Observation status,CONF_STATUS,Confidentiality status,COMMENT_OBS,Observation comment,DECIMALS,Decimals,TIME_PER_COLLECT,Time period collection,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,JPN,Japan,ISCED11_5,Short-cycle tertiary education,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F06,Information and Communication Technologies (ICTs) (broad field level),_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,JPN,Japan,ISCED11_6,Bachelor’s or equivalent level,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F06,Information and Communication Technologies (ICTs) (broad field level),_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,JPN,Japan,ISCED11_7,Master’s or equivalent level,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F06,Information and Communication Technologies (ICTs) (broad field level),_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,JPN,Japan,ISCED11_8,Doctoral or equivalent level,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F06,Information and Communication Technologies (ICTs) (broad field level),_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,JPN,Japan,ISCED11_5T8,Tertiary education,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F06,Information and Communication Technologies (ICTs) (broad field level),_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_5,Short-cycle tertiary education,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F00,Generic programmes and qualifications,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_5,Short-cycle tertiary education,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_TX_U,Total (excluding unknown),_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_5,Short-cycle tertiary education,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F04,"Business, administration and law",_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_5,Short-cycle tertiary education,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F01,Education (broad field level),_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_5,Short-cycle tertiary education,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F10,Services (broad field level),_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_5,Short-cycle tertiary education,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F05,"Natural sciences, mathematics and statistics",_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_5,Short-cycle tertiary education,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F07,"Engineering, manufacturing and construction",_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_5,Short-cycle tertiary education,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F09,Health and welfare (broad field level),_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_5,Short-cycle tertiary education,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F03,"Social sciences, journalism and information",_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_5,Short-cycle tertiary education,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F08,"Agriculture, forestry, fisheries and veterinary",_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_5,Short-cycle tertiary education,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F02,Arts and humanities,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_5,Short-cycle tertiary education,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F06,Information and Communication Technologies (ICTs) (broad field level),_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_8,Doctoral or equivalent level,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_TX_U,Total (excluding unknown),_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_8,Doctoral or equivalent level,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F00,Generic programmes and qualifications,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_8,Doctoral or equivalent level,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F05,"Natural sciences, mathematics and statistics",_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_8,Doctoral or equivalent level,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F07,"Engineering, manufacturing and construction",_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_8,Doctoral or equivalent level,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F09,Health and welfare (broad field level),_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_8,Doctoral or equivalent level,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F06,Information and Communication Technologies (ICTs) (broad field level),_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_8,Doctoral or equivalent level,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F01,Education (broad field level),_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_8,Doctoral or equivalent level,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F10,Services (broad field level),_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_8,Doctoral or equivalent level,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F04,"Business, administration and law",_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_8,Doctoral or equivalent level,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F03,"Social sciences, journalism and information",_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_8,Doctoral or equivalent level,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F08,"Agriculture, forestry, fisheries and veterinary",_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_8,Doctoral or equivalent level,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F02,Arts and humanities,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_5T8,Tertiary education,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F01,Education (broad field level),_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_5T8,Tertiary education,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F03,"Social sciences, journalism and information",_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_5T8,Tertiary education,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F08,"Agriculture, forestry, fisheries and veterinary",_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_5T8,Tertiary education,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F06,Information and Communication Technologies (ICTs) (broad field level),_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_5T8,Tertiary education,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F10,Services (broad field level),_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_5T8,Tertiary education,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F02,Arts and humanities,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_5T8,Tertiary education,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F07,"Engineering, manufacturing and construction",_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_5T8,Tertiary education,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F09,Health and welfare (broad field level),_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_5T8,Tertiary education,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F04,"Business, administration and law",_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_5T8,Tertiary education,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F05,"Natural sciences, mathematics and statistics",_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_5T8,Tertiary education,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,_TX_U,Total (excluding unknown),_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,PER,Peru,ISCED11_5T8,Tertiary education,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F00,Generic programmes and qualifications,_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,O,Missing value,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,LTU,Lithuania,ISCED11_5,Short-cycle tertiary education,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F06,Information and Communication Technologies (ICTs) (broad field level),_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,LTU,Lithuania,ISCED11_5,Short-cycle tertiary education,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F10,Services (broad field level),_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,LTU,Lithuania,ISCED11_5,Short-cycle tertiary education,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F04,"Business, administration and law",_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,LTU,Lithuania,ISCED11_5,Short-cycle tertiary education,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F08,"Agriculture, forestry, fisheries and veterinary",_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD(1.0),"Distribution of enrolled students, new entrants and graduates by field of education",I,LTU,Lithuania,ISCED11_5,Short-cycle tertiary education,GRAD,Graduates,FE,"Formal education, includes formal initial and formal adult education programmes",_T,Total,F05,"Natural sciences, mathematics and statistics",_T,Total,A,Annual,_Z,Not applicable,_Z,Not applicable,INST_EDU,All educational institutions,_T,Total,PT_ST,Percentage of students,_T,Total,_T,Total,2023,,,,,,,,,,,,M,Missing value; data cannot exist,,,,,2,Two,,,0,Units
